Mã đặt hàng,Mã hóa đơn,Mã vận đơn,Địa chỉ lấy hàng,Thời gian,Thời gian tạo,Mã khách hàng,Tên khách hàng,Điện thoại,Địa chỉ (Khách hàng),Khu vực (Khách hàng),Phường/Xã (Khách hàng),Người nhận đặt,Kênh bán,Người tạo,Đối tác giao hàng,Người nhận,Điện thoại (Người nhận),Địa chỉ (Người nhận),Khu vực (Người nhận),Phường/Xã (Người nhận),Dịch vụ,Trọng lượng (gram),Dài,Rộng,Cao,Phí trả ĐTGH (trả ĐT),Ghi chú,Tổng tiền hàng,Giảm giá phiếu đặt,Khách cần trả,Khách đã trả,Tiền mặt,Thẻ,Chuyển khoản,Ví,ĐVT,Điểm,Thời gian giao hàng,Trạng thái,Mã hàng,Mã vạch,Tên hàng,Thương hiệu,Ghi chú hàng hóa,Số lượng,Đơn giá,Giảm giá %,Giảm giá,Giá bán,Thành tiền
DHIP00004,,,,2026-03-01 08:50:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Zalo,Jennifer Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-VygenO,,Tương Ớt TH True Milk của,,,3,3295,,,3295,9885
DHIP00004,,,,2026-03-01 08:50:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Facebook,Jennifer Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,3,121086,,,121086,363258
DHIP00004,,,,2026-03-01 08:50:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Facebook,Jennifer Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-jwFAkO,,Dầu Gội Chinsu được,,,1,4170,,,4170,4170
DHIP00004,,,,2026-03-01 08:50:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Facebook,Jennifer Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-TZWAEL,,Nước Ngọt Lifebuoy cho,,,3,3796,,,3796,11388
DHIP00005,,,,2026-03-01 13:28:00,,sdv-id-JwezvL,Sharon Wilson,320.216.5529x8741,,,,,Facebook,Michael Reeves,,,,,,,,,,,,,,171559.0,,171559.0,171559.0,171559.0,,,,,,,Hoàn thành,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,1,19835,,,19835,19835
DHIP00005,,,,2026-03-01 13:28:00,,sdv-id-JwezvL,Sharon Wilson,320.216.5529x8741,,,,,Zalo,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00005,,,,2026-03-01 13:28:00,,sdv-id-JwezvL,Sharon Wilson,320.216.5529x8741,,,,,Facebook,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,1,24048,,,24048,24048
DHIP00005,,,,2026-03-01 13:28:00,,sdv-id-JwezvL,Sharon Wilson,320.216.5529x8741,,,,,Zalo,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-VygenO,,Tương Ớt TH True Milk của,,,2,3295,,,3295,6590
DHIP00006,,,,2026-03-02 08:00:00,,sdv-id-JwezvL,Sharon Wilson,320.216.5529x8741,,,,,Zalo,Linda Herrera,,,,,,,,,,,,,,111814.0,,111814.0,0.0,,,,,,,,Đang giao hàng,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,3,24048,,,24048,72144
DHIP00006,,,,2026-03-02 08:00:00,,sdv-id-JwezvL,Sharon Wilson,320.216.5529x8741,,,,,Zalo,Linda Herrera,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,2,19835,,,19835,39670
DHIP00007,,,,2026-03-02 18:51:00,,sdv-id-vumQIc,Deanna Norris,9572435795,,,,,Zalo,Fred Gordon,,,,,,,,,,,,,,1390940.0,,1390940.0,1390940.0,1390940.0,,,,,,,Hoàn thành,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,2,121086,,,121086,242172
DHIP00007,,,,2026-03-02 18:51:00,,sdv-id-vumQIc,Deanna Norris,9572435795,,,,,Facebook,Fred Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,3,19835,,,19835,59505
DHIP00007,,,,2026-03-02 18:51:00,,sdv-id-vumQIc,Deanna Norris,9572435795,,,,,Facebook,Fred Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-Fqonrf,,Mì Gói Chinsu như,,,3,254816,,,254816,764448
DHIP00007,,,,2026-03-02 18:51:00,,sdv-id-vumQIc,Deanna Norris,9572435795,,,,,Zalo,Fred Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,2,159923,,,159923,319846
DHIP00007,,,,2026-03-02 18:51:00,,sdv-id-vumQIc,Deanna Norris,9572435795,,,,,Facebook,Fred Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-pBTHXU,,Dầu Gội Masan các,,,1,4969,,,4969,4969
DHIP00008,,,,2026-03-02 14:52:00,,sdv-id-MxuAop,Lacey Phillips,001-752-834-3025x084,,,,,Facebook,Susan Fox,,,,,,,,,,,,,,340514.0,,340514.0,340514.0,,,340514.0,,,,,Hoàn thành,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00008,,,,2026-03-02 14:52:00,,sdv-id-MxuAop,Lacey Phillips,001-752-834-3025x084,,,,,Zalo,Susan Fox,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,3,19835,,,19835,59505
DHIP00008,,,,2026-03-02 14:52:00,,sdv-id-MxuAop,Lacey Phillips,001-752-834-3025x084,,,,,Facebook,Susan Fox,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,1,159923,,,159923,159923
DHIP00009,,,,2026-03-02 08:11:00,,sdv-id-IlNLti,Heather Sanders,(778)623-2322,,,,,Zalo,Melissa Zhang,,,,,,,,,,,,,,24048.0,,24048.0,24048.0,,,24048.0,,,,,Phiếu tạm,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,1,24048,,,24048,24048
DHIP00010,,,,2026-03-02 11:19:00,,sdv-id-IlNLti,Heather Sanders,(778)623-2322,,,,,Facebook,Michael Reeves,,,,,,,,,,,,,,1468629.0,,1468629.0,1468629.0,,,1468629.0,,,,,Hoàn thành,sdv-id-VygenO,,Tương Ớt TH True Milk của,,,2,3295,,,3295,6590
DHIP00010,,,,2026-03-02 11:19:00,,sdv-id-IlNLti,Heather Sanders,(778)623-2322,,,,,Facebook,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,3,121086,,,121086,363258
DHIP00010,,,,2026-03-02 11:19:00,,sdv-id-IlNLti,Heather Sanders,(778)623-2322,,,,,Facebook,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-yULSlv,,Hạt Nêm Coca-Cola rất,,,2,309506,,,309506,619012
DHIP00010,,,,2026-03-02 11:19:00,,sdv-id-IlNLti,Heather Sanders,(778)623-2322,,,,,Zalo,Michael Reeves,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,3,159923,,,159923,479769
DHIP00011,,,,2026-03-02 09:40:00,,sdv-id-mVUVgm,Brad Jimenez,+1-784-465-6038x8053,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,221580.0,,221580.0,221580.0,221580.0,,,,,,,Đang giao hàng,sdv-id-AkPaOP,,Bột Mì Lifebuoy vì,,,3,33498,,,33498,100494
DHIP00011,,,,2026-03-02 09:40:00,,sdv-id-mVUVgm,Brad Jimenez,+1-784-465-6038x8053,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00012,,,,2026-03-02 12:10:00,,sdv-id-RIkFri,Jason Becker,364.211.0030x98449,,,,,Zalo,Susan Fox,,,,,,,,,,,,,,132024.0,,132024.0,132024.0,132024.0,,,,,,,Hoàn thành,sdv-id-iwmNfa,,Túi Rác Lifebuoy giữa,,,3,3646,,,3646,10938
DHIP00012,,,,2026-03-02 12:10:00,,sdv-id-RIkFri,Jason Becker,364.211.0030x98449,,,,,Zalo,Susan Fox,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00013,,,,2026-03-02 08:56:00,,sdv-id-MxuAop,Lacey Phillips,001-752-834-3025x084,,,,,Zalo,Susan Fox,,,,,,,,,,,,,,121086.0,,121086.0,121086.0,,,121086.0,,,,,Hoàn thành,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00014,,,,2026-03-03 10:17:00,,sdv-id-DPloOg,Carla Burch,335.282.3777,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,383356.0,,383356.0,383356.0,383356.0,,,,,,,Hoàn thành,sdv-id-iwmNfa,,Túi Rác Lifebuoy giữa,,,1,3646,,,3646,3646
DHIP00014,,,,2026-03-03 10:17:00,,sdv-id-DPloOg,Carla Burch,335.282.3777,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00014,,,,2026-03-03 10:17:00,,sdv-id-DPloOg,Carla Burch,335.282.3777,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-UvNfEY,,Cà Phê Coca-Cola cái,,,2,117288,,,117288,234576
DHIP00014,,,,2026-03-03 10:17:00,,sdv-id-DPloOg,Carla Burch,335.282.3777,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,1,24048,,,24048,24048
DHIP00015,,,,2026-03-03 13:43:00,,sdv-id-DPloOg,Carla Burch,335.282.3777,,,,,Zalo,Fred Gordon,,,,,,,,,,,,,,373821.0,,373821.0,373821.0,,,373821.0,,,,,Phiếu tạm,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,3,19835,,,19835,59505
DHIP00015,,,,2026-03-03 13:43:00,,sdv-id-DPloOg,Carla Burch,335.282.3777,,,,,Zalo,Fred Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,2,121086,,,121086,242172
DHIP00015,,,,2026-03-03 13:43:00,,sdv-id-DPloOg,Carla Burch,335.282.3777,,,,,Zalo,Fred Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,3,24048,,,24048,72144
DHIP00016,,,,2026-03-03 14:10:00,,sdv-id-YIUWSA,Christine Mcintosh,675-675-1478x884,,,,,Facebook,Melissa Zhang,,,,,,,,,,,,,,430592.0,,430592.0,430592.0,,,430592.0,,,,,Hoàn thành,sdv-id-yULSlv,,Hạt Nêm Coca-Cola rất,,,1,309506,,,309506,309506
DHIP00016,,,,2026-03-03 14:10:00,,sdv-id-YIUWSA,Christine Mcintosh,675-675-1478x884,,,,,Facebook,Melissa Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00017,,,,2026-03-03 14:57:00,,sdv-id-IoAGpk,Scott Ramos,872-211-7151x873,,,,,Facebook,Kevin Jackson,,,,,,,,,,,,,,242172.0,,242172.0,242172.0,,,242172.0,,,,,Hoàn thành,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,2,121086,,,121086,242172
DHIP00018,,,,2026-03-04 09:46:00,,sdv-id-WbRQAt,James Jones,+1-970-568-5372x1932,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,545465.0,,545465.0,0.0,,,,,,,,Đang giao hàng,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00018,,,,2026-03-04 09:46:00,,sdv-id-WbRQAt,James Jones,+1-970-568-5372x1932,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,2,159923,,,159923,319846
DHIP00018,,,,2026-03-04 09:46:00,,sdv-id-WbRQAt,James Jones,+1-970-568-5372x1932,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,2,19835,,,19835,39670
DHIP00018,,,,2026-03-04 09:46:00,,sdv-id-WbRQAt,James Jones,+1-970-568-5372x1932,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-LDQNlz,,Gạo Tám Hảo Hảo chỉ,,,3,5589,,,5589,16767
DHIP00018,,,,2026-03-04 09:46:00,,sdv-id-WbRQAt,James Jones,+1-970-568-5372x1932,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,2,24048,,,24048,48096
DHIP00019,,,,2026-03-04 16:08:00,,sdv-id-IoAGpk,Scott Ramos,872-211-7151x873,,,,,Facebook,Jennifer Jackson,,,,,,,,,,,,,,49555.0,,49555.0,49555.0,,,49555.0,,,,,Hoàn thành,sdv-id-VygenO,,Tương Ớt TH True Milk của,,,3,3295,,,3295,9885
DHIP00019,,,,2026-03-04 16:08:00,,sdv-id-IoAGpk,Scott Ramos,872-211-7151x873,,,,,Zalo,Jennifer Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,2,19835,,,19835,39670
DHIP00020,,,,2026-03-04 13:06:00,,sdv-id-iQeUBW,Andre Weber,431.947.4039,,,,,Facebook,Kevin Jackson,,,,,,,,,,,,,,39670.0,,39670.0,39670.0,,,39670.0,,,,,Hoàn thành,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,2,19835,,,19835,39670
DHIP00021,,,,2026-03-04 10:34:00,,sdv-id-MXkZfR,Alexander Williams,539.374.2383x3238,,,,,Facebook,Aaron Villanueva,,,,,,,,,,,,,,805494.0,,805494.0,805494.0,,,805494.0,,,,,Hoàn thành,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,2,121086,,,121086,242172
DHIP00021,,,,2026-03-04 10:34:00,,sdv-id-MXkZfR,Alexander Williams,539.374.2383x3238,,,,,Zalo,Aaron Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,3,19835,,,19835,59505
DHIP00021,,,,2026-03-04 10:34:00,,sdv-id-MXkZfR,Alexander Williams,539.374.2383x3238,,,,,Zalo,Aaron Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,1,24048,,,24048,24048
DHIP00021,,,,2026-03-04 10:34:00,,sdv-id-MXkZfR,Alexander Williams,539.374.2383x3238,,,,,Facebook,Aaron Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,3,159923,,,159923,479769
DHIP00022,,,,2026-03-04 10:30:00,,sdv-id-hegSMu,Shawn Rose,+1-311-770-5691,,,,,Zalo,Kevin Jackson,,,,,,,,,,,,,,411268.0,,411268.0,411268.0,411268.0,,,,,,,Hoàn thành,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,2,19835,,,19835,39670
DHIP00022,,,,2026-03-04 10:30:00,,sdv-id-hegSMu,Shawn Rose,+1-311-770-5691,,,,,Facebook,Kevin Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-jwFAkO,,Dầu Gội Chinsu được,,,2,4170,,,4170,8340
DHIP00022,,,,2026-03-04 10:30:00,,sdv-id-hegSMu,Shawn Rose,+1-311-770-5691,,,,,Zalo,Kevin Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,3,121086,,,121086,363258
DHIP00023,,,,2026-03-04 17:53:00,,sdv-id-FLJNNo,Jonathan Shannon,780-342-1615,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,1062440.0,,1062440.0,1062440.0,,,1062440.0,,,,,Hoàn thành,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,2,24048,,,24048,48096
DHIP00023,,,,2026-03-04 17:53:00,,sdv-id-FLJNNo,Jonathan Shannon,780-342-1615,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00023,,,,2026-03-04 17:53:00,,sdv-id-FLJNNo,Jonathan Shannon,780-342-1615,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-yULSlv,,Hạt Nêm Coca-Cola rất,,,2,309506,,,309506,619012
DHIP00023,,,,2026-03-04 17:53:00,,sdv-id-FLJNNo,Jonathan Shannon,780-342-1615,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,2,19835,,,19835,39670
DHIP00023,,,,2026-03-04 17:53:00,,sdv-id-FLJNNo,Jonathan Shannon,780-342-1615,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-UvNfEY,,Cà Phê Coca-Cola cái,,,2,117288,,,117288,234576
DHIP00024,,,,2026-03-05 08:17:00,,sdv-id-buKGIM,Caitlin Underwood,001-683-834-6238x66377,,,,,Zalo,Aaron Villanueva,,,,,,,,,,,,,,673889.0,,673889.0,0.0,,,,,,,,Đang giao hàng,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00024,,,,2026-03-05 08:17:00,,sdv-id-buKGIM,Caitlin Underwood,001-683-834-6238x66377,,,,,Facebook,Aaron Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,2,24048,,,24048,48096
DHIP00024,,,,2026-03-05 08:17:00,,sdv-id-buKGIM,Caitlin Underwood,001-683-834-6238x66377,,,,,Facebook,Aaron Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ROIuZm,,Mì Gói Masan của,,,1,5103,,,5103,5103
DHIP00024,,,,2026-03-05 08:17:00,,sdv-id-buKGIM,Caitlin Underwood,001-683-834-6238x66377,,,,,Zalo,Aaron Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,1,19835,,,19835,19835
DHIP00024,,,,2026-03-05 08:17:00,,sdv-id-buKGIM,Caitlin Underwood,001-683-834-6238x66377,,,,,Facebook,Aaron Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,3,159923,,,159923,479769
DHIP00025,,,,2026-03-05 10:33:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Zalo,Melissa Zhang,,,,,,,,,,,,,,683255.0,,683255.0,683255.0,683255.0,,,,,,,Hoàn thành,sdv-id-etxbzt,,Sữa Chua Lifebuoy từ,,,1,52887,,,52887,52887
DHIP00025,,,,2026-03-05 10:33:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Zalo,Melissa Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-vJtreC,,Trà Lifebuoy với,,,3,159923,,,159923,479769
DHIP00025,,,,2026-03-05 10:33:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Facebook,Melissa Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00025,,,,2026-03-05 10:33:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Facebook,Melissa Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-OQbPGq,,Tương Ớt TH True Milk đó,,,2,4839,,,4839,9678
DHIP00025,,,,2026-03-05 10:33:00,,sdv-id-UlhrrQ,Kevin Williamson,(543)614-9535x9321,,,,,Facebook,Melissa Zhang,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,1,19835,,,19835,19835
DHIP00026,,,,2026-03-05 10:13:00,,sdv-id-gHzMHJ,Kevin Baker,413.526.0446x82412,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,1057583.0,,1057583.0,0.0,,,,,,,,Đang giao hàng,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,3,121086,,,121086,363258
DHIP00026,,,,2026-03-05 10:13:00,,sdv-id-gHzMHJ,Kevin Baker,413.526.0446x82412,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-cntNYj,,Hạt Nêm Vinamilk hơn,,,1,24048,,,24048,24048
DHIP00026,,,,2026-03-05 10:13:00,,sdv-id-gHzMHJ,Kevin Baker,413.526.0446x82412,,,,,Facebook,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,3,19835,,,19835,59505
DHIP00026,,,,2026-03-05 10:13:00,,sdv-id-gHzMHJ,Kevin Baker,413.526.0446x82412,,,,,Zalo,Donna Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-XJRwBf,,Bánh Quy Pepsi mà,,,2,305386,,,305386,610772
DHIP00027,,,,2026-03-05 20:07:00,,sdv-id-UiqmJw,Leslie Henderson,+1-762-521-1731x07982,,,,,Zalo,Susan Fox,,,,,,,,,,,,,,507255.0,,507255.0,507255.0,507255.0,,,,,,,Đang giao hàng,sdv-id-vJtreC,,Trà Lifebuoy với,,,2,159923,,,159923,319846
DHIP00027,,,,2026-03-05 20:07:00,,sdv-id-UiqmJw,Leslie Henderson,+1-762-521-1731x07982,,,,,Zalo,Susan Fox,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-ayTeLX,,Bột Giặt Lifebuoy như,,,3,19835,,,19835,59505
DHIP00027,,,,2026-03-05 20:07:00,,sdv-id-UiqmJw,Leslie Henderson,+1-762-521-1731x07982,,,,,Zalo,Susan Fox,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,1,121086,,,121086,121086
DHIP00027,,,,2026-03-05 20:07:00,,sdv-id-UiqmJw,Leslie Henderson,+1-762-521-1731x07982,,,,,Zalo,Susan Fox,,,,,,,,,,,,,,,,,,,,,,,,,,sdv-id-nrXuVs,,Nước Khoáng Pepsi tại,,,2,3409,,,3409,6818
DHIP00028,,,,2026-03-05 11:58:00,,sdv-id-MxuAop,Lacey Phillips,001-752-834-3025x084,,,,,Zalo,Jennifer Jackson,,,,,,,,,,,,,,807248.0,,807248.0,807248.0,,,807248.0,,,,,Hoàn thành,sdv-id-YDASLH,,Khăn Giấy Hảo Hảo mỗi,,,3,121086,,,121086,363258
